Country,Region,University_Name,Degree_Level,Field_of_Study,Graduation_Year,Employment_Rate_6_Months (%),Employment_Rate_12_Months (%),Average_Starting_Salary_USD,Top_Industry,Job_Role,Skill_1,Skill_2,Skill_3,Skill_Demand_Score (1–100),Remote_Work_Availability (%),Employer_Reputation_Score (1–100),Year
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Master,Healthcare & Medicine,1.5567958471516272,-0.8639740984380716,-1.0851446752592075,0.6782135878258143,Healthcare,Biomedical Researcher,Clinical Research,Patient Care,Diagnostics,-0.01274284817024294,1.5616005144703142,-0.19256268629311113,1.5567958471516272
Canada,North America,UBC,PhD,Social Sciences,-0.0066109774296642075,0.5245717703745957,0.532613477806605,0.4789744999852796,Government/NGO,Human Resources Specialist,Qualitative Research,Communication,Public Policy,0.3271959368591081,0.11674664329341863,0.01809663919945681,-0.0066109774296642075
Sweden,Europe,KTH Royal Institute of Technology,Bachelor,Computer Science,-0.0066109774296642075,0.6677208290150768,1.3489134632985285,0.034769320537529944,Technology,AI Researcher,SQL,Java,Cybersecurity,-0.01274284817024294,-0.17354363219417693,-0.12234291112892182,-0.0066109774296642075
Canada,North America,McGill University,Master,Engineering,-0.0066109774296642075,0.26690346482172805,0.30998620903608043,0.3940529215614451,Manufacturing/Construction,Civil Engineer,AutoCAD,MATLAB,SolidWorks,-1.3724979882876471,0.2750867935593797,0.7905141660055393,-0.0066109774296642075
UAE,Middle East & Africa,Khalifa University,Master,Business & Finance,-0.3192923423459225,-0.6492505104773499,-1.0851446752592075,0.04130174964705567,Finance/Consulting,Marketing Manager,Excel,Strategic Planning,Financial Modeling,-0.9645714462524259,-1.140078299442648,0.8607339411697286,-0.3192923423459225
France,Europe,PSL University,Master,Healthcare & Medicine,0.6187517524028524,-0.13391389937161868,0.17640984777376487,0.49857178731385676,Healthcare,Pharmacist,Clinical Research,Patient Care,Diagnostics,-1.1005469602641662,0.7666010100099674,-0.8947604379350043,0.6187517524028524
Japan,Asia-Pacific,Kyoto University,Bachelor,Computer Science,-0.0066109774296642075,0.9683338521600864,1.2153371020362127,-0.4225007171292712,Technology,AI Researcher,React,Java,DevOps,1.8909143479941228,-0.028398494450379032,0.29897573985621406,-0.0066109774296642075
USA,North America,UC Berkeley,Master,Engineering,-1.2573364370946973,-0.5061014518368687,-0.35789559727549325,0.3613907760138165,Manufacturing/Construction,Mechanical Engineer,Lean Six Sigma,Project Management,SolidWorks,-0.9645714462524259,-1.1565720650953522,0.29897573985621406,-1.2573364370946973
Brazil,Latin America,University of São Paulo,PhD,Data Science & AI,-0.6319737072621808,0.5532015821026903,0.23577711944590557,-0.621739804969806,Technology/Consulting,AI Consultant,Data Visualization,NLP,R,1.6869510769765121,-0.909165580304788,-0.26278246145730044,-0.6319737072621808
South Korea,Asia-Pacific,Seoul National University,PhD,Natural Sciences,-0.3192923423459225,-0.9784933453504561,-0.5805228660460178,-0.2983845640482823,Research/Academia,Chemist,Laboratory Skills,Statistical Analysis,Scientific Writing,-0.4206693902054642,-1.0839994962234534,0.509635065348782,-0.3192923423459225
France,Europe,Ecole Polytechnique,Bachelor,Data Science & AI,-0.6319737072621808,1.684079145362492,1.4231225528887033,-0.3310467095959109,Technology/Consulting,Machine Learning Engineer,Machine Learning,Deep Learning,R,0.3951836938649783,-1.0938957556150761,-2.0884966157262226,-0.6319737072621808
Netherlands,Europe,University of Amsterdam,PhD,Data Science & AI,-1.5700178020109556,0.080809688589103,0.17640984777376487,0.6357527986138971,Technology/Consulting,AI Consultant,Deep Learning,NLP,Data Visualization,0.055244908835627264,-1.1565720650953522,-0.33300223662148976,-1.5700178020109556
Canada,North America,McGill University,PhD,Business & Finance,1.5567958471516272,-0.01939465245923419,-0.5359974122919133,1.7462657472332712,Finance/Consulting,Marketing Manager,Strategic Planning,Excel,Market Research,0.19122042284736768,1.1921401638497382,0.9309537163339179,1.5567958471516272
UK,Europe,Oxford,Bachelor,Engineering,-0.9446550721784391,-1.4652001447280927,-1.6936592098986405,-0.304916993157808,Manufacturing/Construction,Civil Engineer,MATLAB,AutoCAD,Lean Six Sigma,-1.1005469602641662,-1.1565720650953522,0.3691955150204034,-0.9446550721784391
Canada,North America,McGill University,PhD,Social Sciences,-1.5700178020109556,0.309848182413874,0.04283348651145139,-0.07954818887917034,Government/NGO,Sociologist,Data Analysis,Qualitative Research,Communication,-1.5084735022993876,-1.1565720650953522,-1.1054197634275722,-1.5700178020109556
Brazil,Latin America,University of São Paulo,Bachelor,Healthcare & Medicine,-0.9446550721784391,1.3262064987612892,1.2153371020362127,-1.470955589208151,Healthcare,Medical Doctor,Patient Care,Clinical Research,Diagnostics,-0.692620418228945,-1.0543107180485856,-1.3862988640843295,-0.9446550721784391
Singapore,Asia-Pacific,NUS,PhD,Natural Sciences,0.3060703874865941,0.03786497099695907,-0.26884468976728426,0.9591080395354208,Research/Academia,Chemist,Statistical Analysis,Experimental Design,Laboratory Skills,0.3271959368591081,0.04747282755206059,-0.5436615621140577,0.3060703874865941
Switzerland,Europe,ETH Zurich,Bachelor,Computer Science,-0.9446550721784391,0.13806931204529627,0.20609348360983523,0.7206743770377316,Technology,Data Scientist,DevOps,Python,Cloud Computing,0.3271959368591081,-0.9718418897850643,-2.0884966157262226,-0.9446550721784391
Netherlands,Europe,TU Delft,PhD,Engineering,-1.2573364370946973,0.05217987686100637,0.41387893446232565,0.19481383372091032,Manufacturing/Construction,Electrical Engineer,AutoCAD,SolidWorks,Project Management,-1.5764612593052576,-1.0312194461347997,0.29897573985621406,-1.2573364370946973
Germany,Europe,Heidelberg University,Master,Business & Finance,-1.5700178020109556,-2.0950560027462104,-2.3912246520462848,0.1980800482756732,Finance/Consulting,Investment Banker,Market Research,Data Analysis,Excel,-1.304510231281777,-0.8761780489993795,2.124689894125136,-1.5700178020109556
China,Asia-Pacific,Peking University,Master,Data Science & AI,-0.0066109774296642075,-0.21980333455590653,-0.061059238914793826,-0.4551628626768998,Technology/Consulting,AI Consultant,NLP,Data Visualization,Deep Learning,1.8909143479941228,0.034277815029897206,-0.9649802130991936,-0.0066109774296642075
USA,North America,MIT,Bachelor,Computer Science,1.5567958471516272,1.0828530990724707,0.8739752899214089,0.9427769667616064,Technology,AI Researcher,React,Cloud Computing,Java,1.8909143479941228,1.6473680958643764,1.2118328169906751,1.5567958471516272
Mexico,Latin America,UNAM,Master,Engineering,-0.3192923423459225,-0.8926039101661682,-0.521155594373877,-1.2880475741414303,Manufacturing/Construction,Electrical Engineer,SolidWorks,MATLAB,Project Management,-1.3724979882876471,-0.9190618396964105,-1.4565186392485188,-0.3192923423459225
USA,North America,MIT,PhD,Healthcare & Medicine,-0.9446550721784391,0.8538146052477018,1.3043880095444238,1.873648114869023,Healthcare,Public Health Specialist,Medical Coding,Patient Care,Diagnostics,-0.4886571472113344,-1.1565720650953522,1.4927119176474324,-0.9446550721784391
Sweden,Europe,Karolinska Institute,Bachelor,Healthcare & Medicine,0.3060703874865941,1.2403170635770013,1.1114443766099698,0.28626784125427057,Healthcare,Medical Doctor,Clinical Research,Diagnostics,Medical Coding,-0.4886571472113344,0.3773481406061463,-0.7543208876066256,0.3060703874865941
USA,North America,Stanford,PhD,Business & Finance,-1.2573364370946973,-0.2913778638761471,-0.9960937677509966,1.5698901612760765,Finance/Consulting,Marketing Manager,Financial Modeling,Excel,Strategic Planning,-0.692620418228945,-1.0477132117875039,-0.12234291112892182,-1.2573364370946973
Switzerland,Europe,ETH Zurich,Bachelor,Engineering,-0.6319737072621808,-0.24843314628400318,0.13188439401966037,0.420182637999548,Manufacturing/Construction,Electrical Engineer,SolidWorks,MATLAB,Lean Six Sigma,-0.4886571472113344,-1.0477132117875039,-0.0521231359647325,-0.6319737072621808
South Korea,Asia-Pacific,Seoul National University,Master,Computer Science,0.6187517524028524,0.20964384136553682,0.443562570298396,0.044567964201818536,Technology,Software Engineer,DevOps,Cybersecurity,React,1.550975562964772,1.1657501388054112,1.2820525921548644,0.6187517524028524
Switzerland,Europe,EPFL,PhD,Engineering,-0.3192923423459225,0.1953289355014875,-0.03137560307872346,2.0467574862714546,Manufacturing/Construction,Civil Engineer,AutoCAD,Lean Six Sigma,MATLAB,-0.08073060517611315,-1.0774019899623717,-1.1054197634275722,-0.3192923423459225
Mexico,Latin America,UNAM,Bachelor,Business & Finance,0.9314331173191107,-2.7392267666283754,-3.0665273673168754,-1.2815151450319047,Finance/Consulting,Management Consultant,Data Analysis,Market Research,Strategic Planning,-0.08073060517611315,1.0140074948005315,-0.40322201178567907,0.9314331173191107
Germany,Europe,TU Munich,Bachelor,Healthcare & Medicine,-0.6319737072621808,0.023550065132911774,0.1912516656918011,-0.28205349127446794,Healthcare,Public Health Specialist,Clinical Research,Medical Coding,Patient Care,-0.28469387619372377,-0.9949331616988503,1.2118328169906751,-0.6319737072621808
India,Asia-Pacific,IIT Delhi,PhD,Data Science & AI,0.9314331173191107,0.5102568645105463,0.4880880240525005,-0.6250060195245688,Technology/Consulting,Machine Learning Engineer,Machine Learning,Deep Learning,Big Data,0.3951836938649783,0.9513311853202556,1.1416130418264858,0.9314331173191107
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Bachelor,Social Sciences,-0.9446550721784391,0.18101402963744018,0.1467262119376966,-0.7850505327079492,Government/NGO,Policy Analyst,Communication,Public Policy,Qualitative Research,0.12323266584149747,-1.024621939873718,1.5629316928116217,-0.9446550721784391
Germany,Europe,Humboldt University,Bachelor,Computer Science,1.5567958471516272,1.1114829108005675,1.4231225528887033,0.34832591779476496,Technology,AI Researcher,Cloud Computing,React,Cybersecurity,1.550975562964772,1.6473680958643764,1.3522723673190538,1.5567958471516272
China,Asia-Pacific,Fudan University,PhD,Data Science & AI,-0.9446550721784391,0.09512459445315233,0.7849243824132,-0.15140490908395338,Technology/Consulting,AI Consultant,Data Visualization,Big Data,R,0.2592081798532379,-0.9652443835239826,1.2118328169906751,-0.9446550721784391
USA,North America,Harvard,Bachelor,Social Sciences,-0.3192923423459225,-1.5367746740483332,-1.471031941128116,-0.49109122277929135,Government/NGO,Policy Analyst,Qualitative Research,Data Analysis,Public Policy,-1.712436773316998,-1.0378169523958813,0.22875596469202475,-0.3192923423459225
Argentina,Latin America,University of Buenos Aires,PhD,Social Sciences,1.244114482235369,-1.4938299564561892,-1.0257774035870668,-1.3599042943462134,Government/NGO,Sociologist,Qualitative Research,Data Analysis,Public Policy,0.2592081798532379,1.6473680958643764,-0.26278246145730044,1.244114482235369
India,Asia-Pacific,IISc Bangalore,PhD,Natural Sciences,0.3060703874865941,-0.20548842869185924,-0.22431923601317766,-1.2782489304771418,Research/Academia,Environmental Scientist,Statistical Analysis,Experimental Design,Laboratory Skills,-1.032559203258296,0.8127835538375395,-0.6841011124424363,0.3060703874865941
India,Asia-Pacific,IIT Delhi,Bachelor,Business & Finance,-0.9446550721784391,0.12375440618124693,0.027991668593415155,-1.7551162554725201,Finance/Consulting,Financial Analyst,Data Analysis,Strategic Planning,Financial Modeling,-1.2365224742759067,-1.1565720650953522,1.843810793468379,-0.9446550721784391
Israel,Middle East & Africa,Technion,PhD,Data Science & AI,-1.5700178020109556,1.0828530990724707,1.4231225528887033,1.0407634034044924,Technology/Consulting,NLP Specialist,R,Deep Learning,Big Data,0.5991469648825889,-1.001530667959932,-1.8076175150694653,-1.5700178020109556
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Bachelor,Computer Science,0.3060703874865941,0.7392953583353173,0.5919807494787457,-0.31144942226733374,Technology,Software Engineer,Java,DevOps,React,1.279024534941291,0.5521820565248117,1.0011734914981072,0.3060703874865941
Saudi Arabia,Middle East & Africa,King Abdulaziz University,PhD,Computer Science,0.3060703874865941,1.8988027333232136,1.4231225528887033,0.7762000244687003,Technology,Software Engineer,DevOps,Python,React,1.0750612639236803,0.6874309348769868,2.124689894125136,0.3060703874865941
USA,North America,Stanford,Bachelor,Data Science & AI,-0.9446550721784391,0.4529972410543551,-0.1946356001771094,0.1327557571804159,Technology/Consulting,Machine Learning Engineer,NLP,Big Data,Machine Learning,0.6671347218884591,-0.9322568522185739,-0.0521231359647325,-0.9446550721784391
Canada,North America,UBC,Bachelor,Engineering,-0.9446550721784391,-2.2811497789788353,-2.2131228370298643,-0.43556557534832263,Manufacturing/Construction,Electrical Engineer,SolidWorks,Lean Six Sigma,AutoCAD,0.19122042284736768,-1.090597002484535,0.4394152901845927,-0.9446550721784391
South Korea,Asia-Pacific,Seoul National University,Bachelor,Computer Science,0.9314331173191107,0.9397040404319897,0.9036589257574792,-0.5923438739769401,Technology,Software Engineer,React,Cloud Computing,Cybersecurity,0.8710979929060697,0.7369122318350997,-0.40322201178567907,0.9314331173191107
USA,North America,MIT,PhD,Data Science & AI,-1.2573364370946973,0.09512459445315233,0.027991668593415155,1.798525180109477,Technology/Consulting,Machine Learning Engineer,Big Data,Data Visualization,Deep Learning,0.3951836938649783,-1.1565720650953522,1.843810793468379,-1.2573364370946973
UK,Europe,Cambridge,Master,Business & Finance,-0.9446550721784391,-1.1216424039909372,-1.4116646694559754,-0.05995090155059314,Finance/Consulting,Marketing Manager,Excel,Market Research,Financial Modeling,0.3951836938649783,-0.8992693209131654,-1.0351999882633829,-0.9446550721784391
Canada,North America,University of Toronto,Bachelor,Engineering,-1.2573364370946973,-0.6778803222054465,-0.5805228660460178,-0.20039812740539634,Manufacturing/Construction,Electrical Engineer,MATLAB,Lean Six Sigma,AutoCAD,-1.1685347172700364,-1.1136882743983212,0.3691955150204034,-1.2573364370946973
Canada,North America,University of Toronto,Bachelor,Healthcare & Medicine,-0.9446550721784391,1.8988027333232136,1.4231225528887033,-0.17426841096729342,Healthcare,Biomedical Researcher,Patient Care,Diagnostics,Medical Coding,0.2592081798532379,-1.0114269273515546,0.29897573985621406,-0.9446550721784391
Brazil,Latin America,University of São Paulo,PhD,Natural Sciences,-0.3192923423459225,-0.8496591925740242,-0.5656810481279837,-0.8993680421246495,Research/Academia,Environmental Scientist,Scientific Writing,Laboratory Skills,Statistical Analysis,-2.3923143433757,-1.1103895212677803,-0.9649802130991936,-0.3192923423459225
Japan,Asia-Pacific,University of Tokyo,Bachelor,Natural Sciences,-0.9446550721784391,-0.9784933453504561,-0.8476755885706468,-1.0496139116437413,Research/Academia,Environmental Scientist,Statistical Analysis,Experimental Design,Laboratory Skills,-0.28469387619372377,-0.9520493710018192,-0.6841011124424363,-0.9446550721784391
Argentina,Latin America,University of Buenos Aires,Bachelor,Computer Science,1.244114482235369,0.6963506407431714,1.052077104937829,-1.346839436127162,Technology,Data Scientist,DevOps,React,Cloud Computing,2.0268898620058633,1.327389042201913,-0.9649802130991936,1.244114482235369
Canada,North America,University of Toronto,Bachelor,Natural Sciences,0.3060703874865941,-1.207531839175227,-1.3077719440297322,-0.4845587936697656,Research/Academia,Environmental Scientist,Scientific Writing,Statistical Analysis,Experimental Design,-0.08073060517611315,0.5653770690469753,-0.0521231359647325,0.3060703874865941
Argentina,Latin America,University of Buenos Aires,PhD,Natural Sciences,1.5567958471516272,-0.2913778638761471,-0.40242105102959774,-1.1900611374985444,Research/Academia,Environmental Scientist,Scientific Writing,Laboratory Skills,Experimental Design,-0.35268163319959395,1.0667875448891857,-0.7543208876066256,1.5567958471516272
Argentina,Latin America,University of Buenos Aires,PhD,Healthcare & Medicine,0.6187517524028524,0.538886676238643,0.532613477806605,-0.9287639731175152,Healthcare,Pharmacist,Patient Care,Diagnostics,Clinical Research,0.19122042284736768,0.8292773194902439,-1.1756395385917615,0.6187517524028524
Saudi Arabia,Middle East & Africa,King Abdulaziz University,Bachelor,Data Science & AI,-1.5700178020109556,1.412095933945577,1.1856534662001446,-0.19713191285063347,Technology/Consulting,NLP Specialist,Deep Learning,Machine Learning,R,-0.28469387619372377,-0.7937092207358579,-0.19256268629311113,-1.5700178020109556
UK,Europe,Oxford,Master,Data Science & AI,-0.9446550721784391,-0.20548842869185924,-0.2391610539312139,0.005373389544664158,Technology/Consulting,NLP Specialist,R,Data Visualization,Deep Learning,-0.21670611918785357,-1.0609082243096675,0.01809663919945681,-0.9446550721784391
Germany,Europe,TU Munich,Bachelor,Social Sciences,-0.9446550721784391,-1.0357529688066494,-0.6992574093902971,-0.4943574373340542,Government/NGO,Human Resources Specialist,Public Policy,Communication,Data Analysis,0.19122042284736768,-0.7541241831693677,0.29897573985621406,-0.9446550721784391
Canada,North America,McGill University,Bachelor,Social Sciences,-1.2573364370946973,-0.49178654597282145,-0.1501101464230028,-1.0953409154104214,Government/NGO,Policy Analyst,Public Policy,Qualitative Research,Data Analysis,-0.9645714462524259,-0.7046428862112548,0.8607339411697286,-1.2573364370946973
France,Europe,PSL University,Bachelor,Engineering,-1.2573364370946973,-0.04802446418732879,0.10220075818359001,-0.49109122277929135,Manufacturing/Construction,Civil Engineer,AutoCAD,SolidWorks,Lean Six Sigma,-2.3923143433757,-1.0741032368318308,1.2118328169906751,-1.2573364370946973
Argentina,Latin America,University of Buenos Aires,PhD,Healthcare & Medicine,-0.3192923423459225,0.8824444169757985,0.6513480211508843,-1.2325219267104617,Healthcare,Pharmacist,Diagnostics,Patient Care,Medical Coding,0.6671347218884591,-0.7145391456028775,-0.9649802130991936,-0.3192923423459225
Canada,North America,University of Toronto,Bachelor,Computer Science,1.5567958471516272,0.12375440618124693,0.3545116627901849,0.37445563423286793,Technology,Cloud Architect,Python,Cybersecurity,Java,2.0268898620058633,1.6473680958643764,0.29897573985621406,1.5567958471516272
UK,Europe,LSE,Master,Social Sciences,0.6187517524028524,-1.3793107095438049,-1.8866028428330948,0.24707326659711618,Government/NGO,Economist,Communication,Data Analysis,Qualitative Research,-0.35268163319959395,0.13983791520720448,-1.5969581895768974,0.6187517524028524
Brazil,Latin America,University of São Paulo,Bachelor,Healthcare & Medicine,0.3060703874865941,-0.04802446418732879,-0.2836865076853184,-1.3370407924628733,Healthcare,Pharmacist,Patient Care,Medical Coding,Clinical Research,0.12323266584149747,0.15963043399044968,-0.19256268629311113,0.3060703874865941
UAE,Middle East & Africa,Khalifa University,Master,Engineering,0.9314331173191107,-1.1932169333111777,-1.2632464902756255,0.6945446605996287,Manufacturing/Construction,Robotics Engineer,Lean Six Sigma,AutoCAD,MATLAB,0.2592081798532379,0.34765936243127865,-2.0884966157262226,0.9314331173191107
Mexico,Latin America,UNAM,Master,Engineering,-1.5700178020109556,-0.2913778638761471,0.3545116627901849,-1.3141772905795333,Manufacturing/Construction,Electrical Engineer,MATLAB,SolidWorks,AutoCAD,-0.9645714462524259,-0.8563855302161342,-0.19256268629311113,-1.5700178020109556
USA,North America,MIT,Master,Healthcare & Medicine,-0.0066109774296642075,1.8988027333232136,1.393438917052633,1.1910092729235842,Healthcare,Biomedical Researcher,Clinical Research,Diagnostics,Patient Care,-0.08073060517611315,0.7039247005296911,0.29897573985621406,-0.0066109774296642075
UAE,Middle East & Africa,Khalifa University,Bachelor,Healthcare & Medicine,-1.5700178020109556,0.16669912377339288,0.20609348360983523,0.0674314660851586,Healthcare,Medical Doctor,Medical Coding,Clinical Research,Diagnostics,-1.032559203258296,-1.1565720650953522,-1.2458593137559508,-1.5700178020109556
France,Europe,PSL University,PhD,Healthcare & Medicine,-1.5700178020109556,1.6268195219062986,1.4231225528887033,0.4038515652257337,Healthcare,Public Health Specialist,Diagnostics,Clinical Research,Medical Coding,-0.8285959322406854,-0.8563855302161342,-0.19256268629311113,-1.5700178020109556
Canada,North America,University of Toronto,Master,Natural Sciences,-0.3192923423459225,-0.6349356046133026,-0.595364683964052,0.12622332807089015,Research/Academia,Biologist,Experimental Design,Scientific Writing,Laboratory Skills,-0.692620418228945,-0.8794768021299203,-0.4734417869498684,-0.3192923423459225
Argentina,Latin America,University of Buenos Aires,Bachelor,Social Sciences,1.5567958471516272,-1.6369790150966705,-1.9756537503413059,-1.4382934436605221,Government/NGO,Policy Analyst,Public Policy,Qualitative Research,Communication,0.7351224788943294,1.6176793176895083,-0.4734417869498684,1.5567958471516272
Saudi Arabia,Middle East & Africa,King Abdulaziz University,PhD,Natural Sciences,0.3060703874865941,-0.8210293808459277,-0.862517406488683,0.4789744999852796,Research/Academia,Biologist,Experimental Design,Scientific Writing,Laboratory Skills,0.6671347218884591,0.8358748257513257,1.633151467975811,0.3060703874865941
Germany,Europe,Humboldt University,Master,Computer Science,1.5567958471516272,1.6697642394984447,1.4231225528887033,0.9199134648782664,Technology,Data Scientist,Python,React,Java,1.00707350691781,0.8721611101872748,1.7735910183041896,1.5567958471516272
Sweden,Europe,KTH Royal Institute of Technology,PhD,Healthcare & Medicine,1.244114482235369,0.954018946296039,0.7552407465771296,1.4980334410712934,Healthcare,Public Health Specialist,Medical Coding,Patient Care,Clinical Research,0.5991469648825889,1.1921401638497382,-1.3862988640843295,1.244114482235369
Japan,Asia-Pacific,Kyoto University,Bachelor,Social Sciences,1.5567958471516272,-1.8517026030573922,-2.1092301116036194,-0.6021425176412287,Government/NGO,Policy Analyst,Data Analysis,Public Policy,Communication,-1.1685347172700364,1.1789451513275744,0.15853618952783544,1.5567958471516272
Switzerland,Europe,EPFL,Bachelor,Natural Sciences,-1.5700178020109556,-1.8803324147854887,-1.901444660751131,-0.3833061424721168,Research/Academia,Environmental Scientist,Statistical Analysis,Experimental Design,Laboratory Skills,-1.4404857452935174,-0.6617590955142237,1.9140305686325683,-1.5700178020109556
Canada,North America,McGill University,Bachelor,Data Science & AI,-0.9446550721784391,1.0112785697522302,1.319229827462458,-0.1481386945291905,Technology/Consulting,AI Consultant,Machine Learning,R,Big Data,0.19122042284736768,-1.1565720650953522,-0.0521231359647325,-0.9446550721784391
USA,North America,Stanford,PhD,Natural Sciences,0.6187517524028524,-0.7065101339335431,-0.5508392302099474,1.22040520391645,Research/Academia,Environmental Scientist,Scientific Writing,Statistical Analysis,Experimental Design,-0.6246326612230748,0.2783855466899206,0.08831641436364612,0.6187517524028524
UK,Europe,LSE,Bachelor,Data Science & AI,-0.3192923423459225,-0.23411824041995588,0.08735894026555588,0.054366607866107135,Technology/Consulting,NLP Specialist,Data Visualization,NLP,Deep Learning,-0.35268163319959395,-1.0872982493539942,-0.26278246145730044,-0.3192923423459225
Australia,Asia-Pacific,ANU,Master,Data Science & AI,-1.2573364370946973,0.3814227117341146,1.0075516511837244,0.49203935820433103,Technology/Consulting,AI Consultant,NLP,Data Visualization,Big Data,-0.14871836218198337,-0.5891865266423248,0.4394152901845927,-1.2573364370946973
USA,North America,Stanford,PhD,Natural Sciences,0.9314331173191107,-0.04802446418732879,0.7403989286590954,1.364118644326016,Research/Academia,Biologist,Laboratory Skills,Experimental Design,Scientific Writing,-0.6246326612230748,0.6181571191356288,-0.824540662770815,0.9314331173191107
Brazil,Latin America,University of São Paulo,Bachelor,Engineering,0.3060703874865941,-2.0521112851540644,-2.079546475767549,-1.2815151450319047,Manufacturing/Construction,Robotics Engineer,SolidWorks,AutoCAD,Project Management,0.8710979929060697,0.3773481406061463,-0.33300223662148976,0.3060703874865941
Argentina,Latin America,University of Buenos Aires,Bachelor,Computer Science,-0.9446550721784391,1.2546319694410486,1.0966025586919335,-1.6407987460558198,Technology,Cybersecurity Analyst,React,Python,DevOps,1.8229265909882526,-0.6716553549058463,0.22875596469202475,-0.9446550721784391
Netherlands,Europe,University of Amsterdam,Bachelor,Data Science & AI,-0.0066109774296642075,1.3548363104893857,1.4231225528887033,0.054366607866107135,Technology/Consulting,NLP Specialist,Big Data,Data Visualization,Deep Learning,0.3951836938649783,-0.1768423853247176,-1.3862988640843295,-0.0066109774296642075
Canada,North America,McGill University,Bachelor,Healthcare & Medicine,-0.9446550721784391,1.0828530990724707,0.7700825644951637,-0.020756326893438762,Healthcare,Public Health Specialist,Diagnostics,Clinical Research,Medical Coding,-1.1005469602641662,-1.1565720650953522,-0.9649802130991936,-0.9446550721784391
UAE,Middle East & Africa,Khalifa University,Bachelor,Natural Sciences,-0.0066109774296642075,-1.350680897815708,-1.4413483052920457,-0.34084535326019955,Research/Academia,Physicist,Experimental Design,Statistical Analysis,Laboratory Skills,-1.5084735022993876,0.06066784007422397,-0.0521231359647325,-0.0066109774296642075
UK,Europe,LSE,Master,Data Science & AI,1.5567958471516272,0.6534059231510275,0.7849243824132,0.906848606659215,Technology/Consulting,Machine Learning Engineer,Deep Learning,Machine Learning,NLP,1.0750612639236803,1.1591526325443295,1.9140305686325683,1.5567958471516272
South Korea,Asia-Pacific,Seoul National University,Master,Natural Sciences,0.6187517524028524,-0.7065101339335431,-0.3875792331115636,-0.5106885101078685,Research/Academia,Biologist,Experimental Design,Scientific Writing,Laboratory Skills,2.298840890029344,0.24869676851505293,0.4394152901845927,0.6187517524028524
UK,Europe,Oxford,Master,Data Science & AI,-0.3192923423459225,0.41005252346220916,0.2506189373639397,0.40058535067097084,Technology/Consulting,NLP Specialist,Deep Learning,NLP,R,0.055244908835627264,-0.9982319148293911,-1.5969581895768974,-0.3192923423459225
Mexico,Latin America,UNAM,PhD,Business & Finance,-0.0066109774296642075,-0.34863748733234035,-0.1946356001771094,-0.8079140345912892,Finance/Consulting,Financial Analyst,Market Research,Data Analysis,Financial Modeling,-0.692620418228945,-0.12406233523606408,0.29897573985621406,-0.0066109774296642075
USA,North America,Harvard,PhD,Natural Sciences,-0.0066109774296642075,-0.6492505104773499,-0.8773592244067172,0.8643878174472976,Research/Academia,Chemist,Laboratory Skills,Experimental Design,Statistical Analysis,-0.9645714462524259,-0.6980453799501731,1.422492142483243,-0.0066109774296642075
Mexico,Latin America,UNAM,PhD,Business & Finance,-0.3192923423459225,0.4386823351903058,0.8294498361673044,-1.1084057736294728,Finance/Consulting,Financial Analyst,Market Research,Financial Modeling,Strategic Planning,-1.3724979882876471,-1.1565720650953522,2.124689894125136,-0.3192923423459225
Argentina,Latin America,University of Buenos Aires,Bachelor,Engineering,-0.6319737072621808,-0.8496591925740242,-0.7437828631444016,-1.2847813595866675,Manufacturing/Construction,Robotics Engineer,SolidWorks,Project Management,MATLAB,-1.1005469602641662,-0.9190618396964105,-0.7543208876066256,-0.6319737072621808
France,Europe,PSL University,Bachelor,Social Sciences,1.244114482235369,-1.7658131678731022,-1.7827101174068496,-0.9483612604460925,Government/NGO,Policy Analyst,Public Policy,Qualitative Research,Communication,-0.6246326612230748,1.2944015108965046,-1.1756395385917615,1.244114482235369
Japan,Asia-Pacific,University of Tokyo,PhD,Business & Finance,1.5567958471516272,0.22395874722958412,0.3545116627901849,0.8709202465568234,Finance/Consulting,Management Consultant,Data Analysis,Market Research,Strategic Planning,0.2592081798532379,1.6473680958643764,0.509635065348782,1.5567958471516272
Australia,Asia-Pacific,University of Sydney,PhD,Natural Sciences,-0.0066109774296642075,-0.7208250397975905,-0.8328337706526127,0.9754391123092351,Research/Academia,Environmental Scientist,Laboratory Skills,Experimental Design,Statistical Analysis,-1.304510231281777,-0.14385485401930903,1.0011734914981072,-0.0066109774296642075
India,Asia-Pacific,IISc Bangalore,PhD,Engineering,0.9314331173191107,0.2955332765498247,-0.17979378225907316,-0.6968627397293519,Manufacturing/Construction,Robotics Engineer,SolidWorks,Lean Six Sigma,Project Management,0.7351224788943294,0.3806468937366872,0.9309537163339179,0.9314331173191107
Singapore,Asia-Pacific,NUS,Bachelor,Natural Sciences,-1.2573364370946973,-0.3200076756042437,-0.6844155914722629,-0.5008898664435799,Research/Academia,Environmental Scientist,Laboratory Skills,Scientific Writing,Experimental Design,-0.14871836218198337,-1.1565720650953522,-0.7543208876066256,-1.2573364370946973
Canada,North America,UBC,PhD,Healthcare & Medicine,-1.2573364370946973,-0.21980333455590653,-0.1501101464230028,0.8709202465568234,Healthcare,Public Health Specialist,Diagnostics,Medical Coding,Clinical Research,0.3271959368591081,-0.5529002422063753,0.08831641436364612,-1.2573364370946973
