Country,University_Name,Graduation_Year,Employment_Rate_6_Months (%),Employment_Rate_12_Months (%),Average_Starting_Salary_USD,Job_Role,Skill_1,Skill_2,Skill_3,Skill_Demand_Score (1–100),Remote_Work_Availability (%),Employer_Reputation_Score (1–100),High_Employability,Region_Europe,Region_Latin America,Region_Middle East & Africa,Region_North America,Degree_Level_Master,Degree_Level_PhD,Field_of_Study_Computer Science,Field_of_Study_Data Science & AI,Field_of_Study_Engineering,Field_of_Study_Healthcare & Medicine,Field_of_Study_Natural Sciences,Field_of_Study_Social Sciences,Top_Industry_Government/NGO,Top_Industry_Healthcare,Top_Industry_Manufacturing/Construction,Top_Industry_Research/Academia,Top_Industry_Technology,Top_Industry_Technology/Consulting
Canada,UBC,2015,98.7,100.0,99400,Biomedical Researcher,Medical Coding,Clinical Research,Diagnostics,57,9.7,61,1,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False
South Korea,Seoul National University,2015,86.0,92.0,50000,Electrical Engineer,MATLAB,Lean Six Sigma,Project Management,41,13.7,60,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
Canada,McGill University,2016,81.5,86.0,66600,Policy Analyst,Qualitative Research,Communication,Public Policy,59,5.0,99,0,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False
Saudi Arabia,King Abdulaziz University,2025,78.3,84.0,56700,Physicist,Scientific Writing,Statistical Analysis,Experimental Design,75,89.0,69,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
South Africa,University of Cape Town,2023,78.8,86.6,32700,Robotics Engineer,MATLAB,Lean Six Sigma,Project Management,74,78.7,55,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
India,IIT Bombay,2023,78.5,81.5,22600,Mechanical Engineer,Project Management,Lean Six Sigma,MATLAB,69,64.6,79,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Mexico,UNAM,2017,88.6,91.8,11300,Biologist,Laboratory Skills,Statistical Analysis,Scientific Writing,56,14.0,61,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
India,IIT Delhi,2020,86.9,94.8,42500,Medical Doctor,Patient Care,Medical Coding,Diagnostics,60,34.0,65,1,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
USA,Stanford,2018,80.1,83.6,109800,Civil Engineer,MATLAB,Project Management,AutoCAD,53,5.0,97,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False
Canada,UBC,2015,94.2,99.6,53300,Software Engineer,SQL,DevOps,React,60,10.0,81,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
UK,Oxford,2024,99.0,100.0,113900,Public Health Specialist,Clinical Research,Patient Care,Diagnostics,77,75.4,53,1,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
USA,Harvard,2016,94.0,100.0,105700,Data Scientist,SQL,Python,Cybersecurity,50,10.0,72,1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False
Saudi Arabia,King Abdulaziz University,2015,99.0,100.0,84400,AI Consultant,Machine Learning,Deep Learning,R,83,8.9,84,1,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
India,IISc Bangalore,2018,99.0,100.0,44200,Biomedical Researcher,Clinical Research,Diagnostics,Medical Coding,53,8.3,77,1,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
France,PSL University,2016,88.8,93.9,85000,AI Researcher,Java,Cybersecurity,DevOps,51,17.2,62,1,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
Saudi Arabia,King Abdulaziz University,2017,91.5,98.7,84300,Cybersecurity Analyst,SQL,Cloud Computing,DevOps,45,9.9,68,1,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
Switzerland,ETH Zurich,2020,99.0,100.0,112500,Cloud Architect,Python,DevOps,SQL,87,43.6,88,1,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Netherlands,University of Amsterdam,2023,89.3,96.5,112600,AI Consultant,NLP,Machine Learning,Big Data,90,54.6,61,1,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
Brazil,University of São Paulo,2024,85.4,89.1,38000,Marketing Manager,Excel,Data Analysis,Financial Modeling,38,85.2,51,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
South Korea,Seoul National University,2022,65.8,72.5,31700,Environmental Scientist,Scientific Writing,Laboratory Skills,Experimental Design,65,57.7,90,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Canada,McGill University,2025,91.1,93.3,88600,Human Resources Specialist,Public Policy,Data Analysis,Communication,69,73.8,66,1,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False
Argentina,University of Buenos Aires,2016,86.1,91.2,23700,Civil Engineer,MATLAB,Project Management,SolidWorks,58,13.5,100,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
Israel,Technion,2021,75.3,80.8,54600,Environmental Scientist,Experimental Design,Statistical Analysis,Scientific Writing,53,64.8,65,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
South Korea,KAIST,2019,88.9,95.3,60000,Medical Doctor,Patient Care,Diagnostics,Clinical Research,56,6.8,94,1,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
South Korea,KAIST,2017,80.2,86.5,28000,Policy Analyst,Public Policy,Data Analysis,Communication,37,12.4,54,0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Argentina,University of Buenos Aires,2024,75.2,81.6,24700,Investment Banker,Excel,Strategic Planning,Data Analysis,79,88.6,73,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Canada,McGill University,2025,87.1,95.1,80500,AI Consultant,Data Visualization,NLP,R,83,79.6,79,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
UAE,Khalifa University,2021,86.5,88.6,79800,Cybersecurity Analyst,DevOps,Cloud Computing,SQL,77,49.2,73,0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Brazil,University of São Paulo,2025,92.6,97.3,37100,Pharmacist,Medical Coding,Diagnostics,Clinical Research,68,90.0,89,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Brazil,University of São Paulo,2022,80.7,83.7,44200,Marketing Manager,Financial Modeling,Data Analysis,Excel,49,66.7,78,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Argentina,University of Buenos Aires,2021,92.4,100.0,34400,Cybersecurity Analyst,Cloud Computing,DevOps,Cybersecurity,77,59.6,69,1,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
South Africa,University of Cape Town,2015,94.2,100.0,30000,AI Researcher,Cybersecurity,Python,Java,73,10.4,69,1,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Singapore,NUS,2021,98.9,100.0,141700,AI Consultant,Machine Learning,Data Visualization,R,83,60.1,77,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
Mexico,UNAM,2018,81.5,86.3,31900,Mechanical Engineer,Project Management,MATLAB,SolidWorks,30,11.1,62,0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
Canada,University of Toronto,2015,81.3,84.0,72200,Robotics Engineer,Lean Six Sigma,MATLAB,AutoCAD,49,5.0,77,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False
Argentina,University of Buenos Aires,2022,96.0,99.5,26800,Cybersecurity Analyst,Cybersecurity,Python,Cloud Computing,84,46.3,80,1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Israel,Hebrew University of Jerusalem,2022,95.5,100.0,119500,AI Researcher,Python,React,Java,88,76.0,65,1,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
Argentina,University of Buenos Aires,2019,84.6,87.8,20000,Pharmacist,Medical Coding,Patient Care,Clinical Research,58,15.5,66,0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
USA,Harvard,2019,89.2,93.1,91700,Cloud Architect,Cybersecurity,DevOps,Java,80,5.0,89,1,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False
USA,Georgia Tech,2016,94.9,97.3,88700,NLP Specialist,Big Data,NLP,Data Visualization,78,13.4,75,1,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True
France,PSL University,2019,84.2,86.9,65600,Chemist,Scientific Writing,Statistical Analysis,Experimental Design,55,15.1,81,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Mexico,UNAM,2022,88.1,94.4,40700,Pharmacist,Patient Care,Clinical Research,Medical Coding,64,36.8,81,1,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
Sweden,Karolinska Institute,2023,87.3,90.1,59100,Economist,Data Analysis,Communication,Public Policy,34,72.8,74,0,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
South Korea,Seoul National University,2025,75.1,85.6,44400,Electrical Engineer,MATLAB,SolidWorks,Project Management,66,90.0,60,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
USA,UC Berkeley,2019,80.4,84.9,63100,Environmental Scientist,Statistical Analysis,Experimental Design,Laboratory Skills,54,9.4,73,0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
UK,Cambridge,2018,83.7,89.7,56900,Cybersecurity Analyst,SQL,Cloud Computing,DevOps,56,5.0,81,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Israel,Hebrew University of Jerusalem,2018,92.7,94.9,106400,Software Engineer,Java,Cloud Computing,SQL,68,8.7,46,1,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
Japan,University of Tokyo,2015,86.3,94.1,54800,Physicist,Experimental Design,Laboratory Skills,Scientific Writing,45,13.8,41,1,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Australia,University of Sydney,2020,76.0,81.6,69300,Financial Analyst,Financial Modeling,Data Analysis,Excel,57,53.2,56,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UK,Oxford,2024,81.6,86.3,81200,Economist,Communication,Qualitative Research,Public Policy,66,71.5,69,0,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
UAE,Khalifa University,2024,82.5,87.6,72100,Environmental Scientist,Experimental Design,Scientific Writing,Laboratory Skills,75,89.2,54,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
Germany,TU Munich,2019,74.1,80.2,62200,Mechanical Engineer,SolidWorks,Lean Six Sigma,Project Management,64,5.0,71,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Argentina,University of Buenos Aires,2020,89.2,96.9,28300,Data Scientist,Cybersecurity,DevOps,React,73,31.9,71,1,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
India,IIT Delhi,2020,80.5,87.9,23800,Policy Analyst,Communication,Public Policy,Data Analysis,65,18.2,62,0,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
France,Ecole Polytechnique,2020,83.6,83.6,48000,Human Resources Specialist,Public Policy,Communication,Data Analysis,85,45.3,72,0,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
Brazil,University of São Paulo,2016,99.0,100.0,38100,Data Analyst,Deep Learning,R,NLP,81,10.7,67,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
Argentina,University of Buenos Aires,2015,78.9,82.5,22900,Marketing Manager,Excel,Financial Modeling,Strategic Planning,36,9.6,44,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Mexico,UNAM,2017,79.8,85.1,17600,Biologist,Scientific Writing,Experimental Design,Laboratory Skills,48,25.4,90,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Argentina,University of Buenos Aires,2015,82.4,86.2,8400,Human Resources Specialist,Public Policy,Communication,Data Analysis,39,5.0,76,0,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
UK,LSE,2019,84.8,91.8,38700,Policy Analyst,Communication,Data Analysis,Public Policy,71,5.7,77,1,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Germany,Humboldt University,2025,80.6,84.1,98700,Biologist,Statistical Analysis,Scientific Writing,Experimental Design,86,90.0,79,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Mexico,UNAM,2025,75.2,79.0,26400,Civil Engineer,Lean Six Sigma,MATLAB,Project Management,68,79.4,69,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
Canada,McGill University,2021,74.4,80.7,55800,Investment Banker,Market Research,Strategic Planning,Financial Modeling,68,46.1,54,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Saudi Arabia,King Abdulaziz University,2019,79.4,85.7,58700,Robotics Engineer,Project Management,AutoCAD,Lean Six Sigma,67,7.5,52,0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
South Africa,University of Cape Town,2017,85.9,89.8,31700,NLP Specialist,Big Data,Machine Learning,NLP,87,14.1,72,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Argentina,University of Buenos Aires,2018,81.1,88.2,10200,Robotics Engineer,Project Management,MATLAB,Lean Six Sigma,52,16.8,89,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Brazil,University of São Paulo,2018,91.5,97.7,34600,Pharmacist,Medical Coding,Diagnostics,Clinical Research,70,12.2,62,1,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Netherlands,TU Delft,2019,91.2,93.6,62100,Data Analyst,Deep Learning,Big Data,Data Visualization,76,15.5,40,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Australia,ANU,2016,88.6,92.7,101500,Management Consultant,Financial Modeling,Data Analysis,Market Research,57,10.0,88,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Argentina,University of Buenos Aires,2021,76.0,82.2,35100,Investment Banker,Market Research,Excel,Financial Modeling,59,50.8,59,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
UAE,Khalifa University,2022,86.5,90.0,87800,Electrical Engineer,MATLAB,AutoCAD,SolidWorks,50,56.1,76,0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
Israel,Hebrew University of Jerusalem,2020,87.5,94.1,62200,Economist,Qualitative Research,Communication,Public Policy,69,43.3,49,1,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
India,IISc Bangalore,2022,96.6,100.0,32000,NLP Specialist,Deep Learning,Machine Learning,R,89,56.8,54,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
France,PSL University,2017,92.8,96.5,65000,Cybersecurity Analyst,DevOps,Cloud Computing,React,71,5.3,86,1,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Japan,Kyoto University,2021,99.0,100.0,94100,Data Analyst,Deep Learning,R,Data Visualization,81,39.9,40,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
Israel,Technion,2015,73.1,80.9,47100,Robotics Engineer,Project Management,Lean Six Sigma,AutoCAD,51,11.9,40,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
India,IISc Bangalore,2016,85.7,91.3,18400,Management Consultant,Data Analysis,Financial Modeling,Strategic Planning,50,12.8,94,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Israel,Hebrew University of Jerusalem,2017,91.6,97.0,77700,Data Scientist,Python,Cloud Computing,SQL,97,5.0,80,1,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
India,IIT Bombay,2019,95.8,99.5,36600,Biomedical Researcher,Patient Care,Medical Coding,Clinical Research,57,13.6,100,1,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
Brazil,University of São Paulo,2016,77.0,81.2,25100,Policy Analyst,Communication,Public Policy,Qualitative Research,47,5.0,65,0,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
Mexico,UNAM,2015,74.9,82.0,26400,Robotics Engineer,AutoCAD,SolidWorks,MATLAB,54,6.3,67,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
Argentina,University of Buenos Aires,2015,86.7,91.7,26700,Sociologist,Communication,Public Policy,Qualitative Research,47,10.4,62,1,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
Saudi Arabia,King Abdulaziz University,2025,90.2,95.5,42100,Physicist,Scientific Writing,Statistical Analysis,Laboratory Skills,73,89.4,58,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Israel,Technion,2017,83.3,92.8,84400,Machine Learning Engineer,Deep Learning,Data Visualization,Machine Learning,61,5.0,63,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
Germany,Heidelberg University,2025,91.3,93.9,108500,AI Consultant,NLP,Deep Learning,Machine Learning,100,90.0,78,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
Mexico,UNAM,2017,99.0,100.0,38600,Public Health Specialist,Medical Coding,Diagnostics,Clinical Research,47,18.1,75,1,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
Saudi Arabia,King Abdulaziz University,2022,72.8,77.4,75400,Marketing Manager,Excel,Data Analysis,Financial Modeling,55,68.3,86,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Australia,University of Melbourne,2021,81.1,88.4,52400,Human Resources Specialist,Public Policy,Data Analysis,Qualitative Research,60,57.3,75,0,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
Sweden,KTH Royal Institute of Technology,2025,89.9,92.5,94100,Pharmacist,Clinical Research,Patient Care,Medical Coding,58,90.0,70,1,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
Canada,McGill University,2025,77.9,82.3,68400,Robotics Engineer,MATLAB,Project Management,Lean Six Sigma,80,86.6,49,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Australia,University of Melbourne,2015,92.0,97.0,98800,Cybersecurity Analyst,Cybersecurity,Python,SQL,86,9.9,74,1,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
Brazil,University of São Paulo,2024,81.9,88.1,28300,Policy Analyst,Communication,Qualitative Research,Data Analysis,52,82.0,71,0,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
UAE,Khalifa University,2022,88.2,93.9,78400,Policy Analyst,Qualitative Research,Public Policy,Data Analysis,78,50.1,72,1,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
Canada,UBC,2024,85.9,92.8,99500,AI Consultant,NLP,Data Visualization,Big Data,100,79.8,77,1,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True
India,IIT Bombay,2024,86.4,87.8,26300,Cybersecurity Analyst,Cloud Computing,React,Python,80,66.1,95,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
UAE,Khalifa University,2015,89.5,96.3,69500,Cybersecurity Analyst,Java,React,DevOps,58,6.2,71,1,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Argentina,University of Buenos Aires,2024,93.8,99.3,33200,Public Health Specialist,Medical Coding,Diagnostics,Patient Care,68,84.0,73,1,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
USA,Stanford,2016,80.2,83.1,57200,Civil Engineer,AutoCAD,Project Management,Lean Six Sigma,52,7.6,100,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Argentina,University of Buenos Aires,2021,76.0,80.7,28700,Electrical Engineer,Lean Six Sigma,Project Management,AutoCAD,67,66.7,61,0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
Brazil,University of São Paulo,2016,95.3,97.6,21800,Cybersecurity Analyst,Java,SQL,DevOps,67,8.7,68,1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Brazil,University of São Paulo,2018,79.6,84.0,40500,Electrical Engineer,MATLAB,SolidWorks,AutoCAD,55,10.7,71,0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
USA,UC Berkeley,2022,85.5,91.3,82500,Environmental Scientist,Scientific Writing,Laboratory Skills,Statistical Analysis,68,44.2,70,1,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
Argentina,University of Buenos Aires,2015,83.6,87.3,14100,Policy Analyst,Public Policy,Qualitative Research,Communication,43,7.1,78,0,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Singapore,NTU,2022,89.2,96.0,101600,Cybersecurity Analyst,Cybersecurity,React,Cloud Computing,85,58.8,66,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Brazil,University of São Paulo,2018,82.9,92.4,26100,Economist,Data Analysis,Qualitative Research,Communication,47,12.6,62,1,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
Saudi Arabia,King Abdulaziz University,2025,82.9,88.2,79900,Environmental Scientist,Experimental Design,Laboratory Skills,Statistical Analysis,99,88.2,53,0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
Argentina,University of Buenos Aires,2017,70.9,75.7,18700,Environmental Scientist,Statistical Analysis,Experimental Design,Laboratory Skills,54,14.0,84,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
Germany,TU Munich,2022,89.2,92.7,69400,Public Health Specialist,Clinical Research,Patient Care,Medical Coding,52,63.1,50,1,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Germany,Humboldt University,2020,85.0,91.1,63000,Data Scientist,Cloud Computing,SQL,Java,98,27.0,42,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
UAE,Khalifa University,2016,81.3,86.8,68600,Financial Analyst,Market Research,Strategic Planning,Financial Modeling,47,9.0,75,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Mexico,UNAM,2015,71.5,75.7,24800,Physicist,Scientific Writing,Laboratory Skills,Experimental Design,52,5.4,95,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
Mexico,UNAM,2024,79.8,85.9,17300,Physicist,Laboratory Skills,Scientific Writing,Experimental Design,62,61.5,63,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Sweden,KTH Royal Institute of Technology,2017,88.3,91.6,65800,NLP Specialist,NLP,R,Data Visualization,83,8.3,62,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
USA,Harvard,2017,85.1,94.9,70000,Environmental Scientist,Laboratory Skills,Experimental Design,Statistical Analysis,62,15.8,62,1,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
USA,UC Berkeley,2023,91.6,96.8,108100,AI Consultant,Deep Learning,Machine Learning,R,75,68.2,75,1,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True
Mexico,UNAM,2023,82.5,88.1,21700,Environmental Scientist,Experimental Design,Laboratory Skills,Scientific Writing,60,64.9,52,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Mexico,UNAM,2025,83.1,87.6,42600,Chemist,Scientific Writing,Laboratory Skills,Statistical Analysis,60,90.0,53,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
USA,MIT,2021,93.3,99.5,104600,NLP Specialist,Deep Learning,Data Visualization,Machine Learning,91,68.1,77,1,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True
USA,Georgia Tech,2025,78.7,84.3,57500,Sociologist,Communication,Qualitative Research,Data Analysis,90,76.0,88,0,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Japan,University of Tokyo,2024,95.4,100.0,79400,Pharmacist,Patient Care,Medical Coding,Diagnostics,59,87.5,79,1,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
Switzerland,EPFL,2025,92.9,96.7,154400,Machine Learning Engineer,Data Visualization,Deep Learning,R,74,90.0,76,1,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
Canada,McGill University,2017,80.3,84.4,62600,Sociologist,Communication,Public Policy,Data Analysis,39,5.9,52,0,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False
South Africa,University of Cape Town,2023,86.3,88.1,31400,AI Researcher,Cybersecurity,Cloud Computing,Java,100,82.5,58,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Argentina,University of Buenos Aires,2020,95.1,100.0,32000,AI Researcher,Cloud Computing,React,Cybersecurity,71,50.9,61,1,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False
USA,MIT,2024,94.9,100.0,109900,AI Consultant,NLP,Machine Learning,Data Visualization,100,68.0,80,1,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True
Sweden,KTH Royal Institute of Technology,2019,95.2,97.2,78400,NLP Specialist,NLP,Big Data,Deep Learning,65,6.1,71,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
Saudi Arabia,King Abdulaziz University,2024,94.5,100.0,80900,Medical Doctor,Patient Care,Diagnostics,Medical Coding,73,90.0,76,1,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
Sweden,Karolinska Institute,2016,98.1,100.0,61900,Cybersecurity Analyst,Python,DevOps,Java,81,17.9,76,1,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
Netherlands,TU Delft,2023,76.7,84.3,51700,Sociologist,Data Analysis,Communication,Qualitative Research,64,70.8,81,0,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
Israel,Hebrew University of Jerusalem,2022,82.6,87.2,68200,Economist,Data Analysis,Public Policy,Communication,60,68.6,78,0,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
Argentina,University of Buenos Aires,2023,85.4,90.2,13500,Human Resources Specialist,Public Policy,Communication,Data Analysis,57,62.4,55,0,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Brazil,University of São Paulo,2016,99.0,100.0,39900,Machine Learning Engineer,Big Data,Data Visualization,Machine Learning,73,6.7,66,1,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
Australia,University of Sydney,2017,88.9,93.5,58100,Public Health Specialist,Clinical Research,Patient Care,Medical Coding,59,11.1,52,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Japan,Kyoto University,2017,81.1,86.4,44200,Physicist,Statistical Analysis,Scientific Writing,Experimental Design,53,7.4,73,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Japan,University of Tokyo,2022,71.3,75.2,47400,Physicist,Laboratory Skills,Experimental Design,Statistical Analysis,61,62.6,87,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
Canada,McGill University,2024,90.5,94.5,123000,NLP Specialist,Data Visualization,R,NLP,79,76.5,81,1,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True
Saudi Arabia,King Abdulaziz University,2022,85.1,86.7,63700,Economist,Data Analysis,Communication,Qualitative Research,58,56.7,95,0,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
